Ref,Val,Package,PosX,PosY,Rot,Side
"C1","300p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-77.800000,-54.900000,-90.000000,bottom
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-74.500000,-57.600000,0.000000,bottom
"C3","30p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-104.537500,-60.200000,180.000000,bottom
"C4","100uF","CP_Elec_6.3x5.4_Nichicon",-55.250000,-132.500000,-90.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.150000,-60.000000,180.000000,bottom
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-69.750000,-49.750000,180.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-81.700000,-46.500000,180.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.800000,-47.800000,90.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-108.100000,-53.230000,180.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-102.200000,-94.350000,180.000000,bottom
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-98.500000,-86.750000,0.000000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-101.200000,-68.900000,90.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.250000,-101.950000,90.000000,bottom
"C14","300p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-73.500000,-120.000000,0.000000,bottom
"C15","300p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-73.400000,-81.400000,0.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-102.200000,-110.350000,180.000000,bottom
"C17","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.350000,-118.750000,180.000000,bottom
"C18","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.500000,-80.750000,0.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.250000,-130.700000,90.000000,bottom
